,OverTime,Attrition,JobRole,JobLevel,StockOptionLevel
495,No,Yes,Sales Representative,Entry,Basic Level of Stock
496,No,No,Sales Representative,Entry,No
497,Yes,No,Manager,C-Level,Basic Level of Stock
498,No,No,Research Scientist,Entry,No
499,No,No,Sales Executive,Associate,No
500,Yes,No,Research Scientist,Associate,Basic Level of Stock
501,No,No,Research Scientist,Entry,Basic Level of Stock
502,No,No,Sales Executive,Associate,No
503,No,No,Research Scientist,Entry,Basic Level of Stock
504,No,Yes,Sales Executive,Associate,Medium Level of Stock
505,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
506,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
507,No,No,Sales Executive,Associate,Basic Level of Stock
508,No,No,Research Scientist,Associate,No
509,No,No,Healthcare Representative,Associate,Basic Level of Stock
510,No,No,Human Resources,Middle-Management,Basic Level of Stock
511,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
512,No,No,Research Scientist,Entry,No
513,Yes,Yes,Research Scientist,Entry,No
514,Yes,Yes,Research Scientist,Entry,No
515,No,No,Laboratory Technician,Entry,Medium Level of Stock
516,No,No,Research Scientist,Entry,Basic Level of Stock
517,No,No,Sales Executive,Associate,Basic Level of Stock
518,No,No,Sales Executive,Associate,No
519,No,No,Research Scientist,Entry,Basic Level of Stock
520,No,No,Sales Executive,Associate,No
521,Yes,No,Sales Executive,Associate,Medium Level of Stock
522,No,No,Research Scientist,Entry,No
523,Yes,No,Laboratory Technician,Entry,High Level of Stock
524,No,No,Healthcare Representative,Middle-Management,No
525,No,Yes,Sales Executive,Associate,No
526,No,No,Healthcare Representative,Associate,No
527,No,No,Sales Executive,Associate,No
528,Yes,Yes,Sales Executive,Associate,Basic Level of Stock
529,No,No,Healthcare Representative,Associate,No
530,No,No,Manufacturing Director,Middle-Management,No
531,No,No,Research Director,Middle-Management,No
532,No,No,Sales Executive,Associate,No
533,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
534,No,No,Research Director,Head,No
535,No,No,Manager,C-Level,High Level of Stock
536,No,No,Sales Executive,Associate,No
537,No,No,Manufacturing Director,Middle-Management,Medium Level of Stock
538,No,No,Manager,C-Level,Basic Level of Stock
539,No,No,Sales Representative,Entry,Basic Level of Stock
540,Yes,Yes,Research Scientist,Entry,No
541,No,No,Research Director,Middle-Management,Basic Level of Stock
542,Yes,No,Manufacturing Director,Middle-Management,No
543,No,No,Laboratory Technician,Entry,No
544,Yes,No,Sales Executive,Head,Medium Level of Stock
545,No,No,Sales Executive,Associate,Basic Level of Stock
546,No,No,Sales Representative,Entry,No
547,Yes,Yes,Research Scientist,Entry,No
548,No,No,Sales Executive,Associate,Basic Level of Stock
549,No,No,Healthcare Representative,Associate,No
550,No,No,Laboratory Technician,Entry,Basic Level of Stock
551,No,No,Human Resources,Associate,Basic Level of Stock
552,No,No,Healthcare Representative,Head,No
553,Yes,No,Research Scientist,Entry,No
554,No,No,Healthcare Representative,Associate,No
555,No,No,Sales Representative,Entry,Medium Level of Stock
556,No,No,Laboratory Technician,Associate,No
557,No,No,Healthcare Representative,Associate,Basic Level of Stock
558,No,No,Laboratory Technician,Associate,Medium Level of Stock
559,Yes,No,Research Scientist,Entry,Basic Level of Stock
560,No,No,Manufacturing Director,Associate,Basic Level of Stock
561,No,No,Manager,Head,No
562,Yes,Yes,Research Scientist,Entry,No
563,No,No,Sales Executive,Associate,No
564,No,No,Sales Representative,Associate,No
565,No,No,Research Scientist,Entry,No
566,Yes,Yes,Sales Executive,Associate,No
567,No,No,Sales Executive,Associate,No
568,Yes,Yes,Manager,C-Level,Basic Level of Stock
569,No,No,Sales Executive,Middle-Management,No
570,No,No,Research Scientist,Entry,Basic Level of Stock
571,No,No,Laboratory Technician,Entry,Basic Level of Stock
572,No,No,Healthcare Representative,Associate,Basic Level of Stock
573,No,Yes,Sales Executive,Associate,No
574,No,No,Research Scientist,Entry,No
575,Yes,No,Manufacturing Director,Associate,Medium Level of Stock
576,No,No,Sales Executive,Associate,Basic Level of Stock
577,Yes,No,Research Scientist,Entry,Medium Level of Stock
578,Yes,No,Manufacturing Director,Associate,No
579,No,No,Research Scientist,Entry,No
580,No,No,Sales Representative,Entry,Basic Level of Stock
581,No,No,Laboratory Technician,Entry,Medium Level of Stock
582,No,No,Healthcare Representative,Associate,Basic Level of Stock
583,No,No,Sales Executive,Associate,Basic Level of Stock
584,No,No,Manager,C-Level,Basic Level of Stock
585,Yes,Yes,Laboratory Technician,Entry,Medium Level of Stock
586,No,No,Laboratory Technician,Entry,High Level of Stock
587,No,No,Laboratory Technician,Associate,Basic Level of Stock
588,No,No,Research Director,Head,No
589,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
590,No,No,Research Director,Middle-Management,No
591,No,Yes,Sales Executive,Associate,No
592,Yes,No,Manager,Head,Basic Level of Stock
593,No,No,Manufacturing Director,Associate,Basic Level of Stock
594,No,No,Research Scientist,Entry,Basic Level of Stock
595,Yes,Yes,Research Director,C-Level,No
596,No,No,Research Scientist,Entry,No
597,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
598,No,Yes,Research Scientist,Entry,No
599,No,No,Human Resources,Entry,Basic Level of Stock
600,No,No,Manufacturing Director,Associate,Basic Level of Stock
601,No,No,Laboratory Technician,Associate,No
602,Yes,No,Manufacturing Director,Associate,No
603,No,No,Research Scientist,Entry,No
604,No,No,Manufacturing Director,Associate,Basic Level of Stock
605,No,No,Healthcare Representative,Associate,Basic Level of Stock
606,No,No,Research Scientist,Entry,No
607,No,Yes,Sales Executive,Middle-Management,Medium Level of Stock
608,No,Yes,Sales Executive,Associate,No
609,No,No,Research Director,Head,Basic Level of Stock
610,Yes,No,Research Director,Middle-Management,Basic Level of Stock
611,No,No,Manufacturing Director,Middle-Management,No
612,Yes,No,Sales Executive,Associate,No
613,No,No,Human Resources,Entry,Basic Level of Stock
614,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
615,No,No,Research Scientist,Entry,High Level of Stock
616,No,No,Manager,Head,Basic Level of Stock
617,No,No,Healthcare Representative,Associate,No
618,No,No,Research Scientist,Entry,No
619,No,No,Sales Executive,Associate,Basic Level of Stock
620,No,No,Research Scientist,Entry,No
621,Yes,No,Sales Executive,Associate,Basic Level of Stock
622,No,No,Sales Executive,Associate,Basic Level of Stock
623,No,No,Research Scientist,Entry,Basic Level of Stock
624,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
625,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
626,No,No,Research Scientist,Associate,Basic Level of Stock
627,No,No,Manufacturing Director,Head,No
628,No,No,Sales Executive,Associate,Medium Level of Stock
629,No,No,Human Resources,Entry,Basic Level of Stock
630,No,No,Manufacturing Director,Associate,Medium Level of Stock
631,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
632,Yes,No,Research Scientist,Entry,No
633,No,No,Human Resources,Entry,No
634,Yes,No,Sales Executive,Associate,No
635,Yes,No,Manufacturing Director,Middle-Management,Basic Level of Stock
636,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
637,No,No,Laboratory Technician,Entry,Basic Level of Stock
638,No,No,Sales Executive,Associate,No
639,No,No,Research Scientist,Entry,Basic Level of Stock
640,No,No,Laboratory Technician,Entry,No
641,No,No,Sales Executive,Associate,Basic Level of Stock
642,No,No,Sales Representative,Entry,Basic Level of Stock
643,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
644,Yes,No,Research Scientist,Entry,Basic Level of Stock
645,Yes,Yes,Sales Representative,Entry,High Level of Stock
646,No,No,Sales Executive,Head,Basic Level of Stock
647,No,No,Manufacturing Director,Middle-Management,No
648,No,No,Sales Representative,Entry,Basic Level of Stock
649,No,No,Research Director,Head,No
650,No,No,Healthcare Representative,Associate,Basic Level of Stock
651,Yes,No,Sales Executive,Associate,Basic Level of Stock
652,Yes,No,Sales Executive,Middle-Management,No
653,No,No,Manager,Head,Basic Level of Stock
654,No,No,Human Resources,Associate,Medium Level of Stock
655,Yes,No,Human Resources,Entry,Basic Level of Stock
656,Yes,Yes,Laboratory Technician,Entry,No
657,No,No,Laboratory Technician,Entry,High Level of Stock
658,Yes,No,Research Scientist,Entry,No
659,No,No,Sales Executive,Associate,No
660,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
661,No,No,Manufacturing Director,Associate,Basic Level of Stock
662,No,Yes,Sales Representative,Entry,No
663,No,Yes,Research Scientist,Entry,No
664,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
665,Yes,No,Sales Representative,Entry,No
666,Yes,Yes,Manufacturing Director,Associate,Basic Level of Stock
667,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
668,No,No,Research Scientist,Entry,Basic Level of Stock
669,Yes,Yes,Laboratory Technician,Entry,No
670,No,No,Research Scientist,Entry,No
671,No,No,Laboratory Technician,Entry,Medium Level of Stock
672,No,No,Sales Executive,Associate,No
673,Yes,No,Research Scientist,Entry,No
674,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
675,No,No,Sales Representative,Entry,No
676,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
677,No,No,Laboratory Technician,Middle-Management,Basic Level of Stock
678,No,No,Research Scientist,Entry,Medium Level of Stock
679,No,No,Sales Executive,Associate,Basic Level of Stock
680,No,No,Research Scientist,Entry,No
681,No,No,Research Director,Middle-Management,Basic Level of Stock
682,No,No,Laboratory Technician,Entry,No
683,Yes,Yes,Sales Representative,Entry,High Level of Stock
684,No,No,Sales Executive,Middle-Management,Basic Level of Stock
685,No,No,Sales Executive,Associate,No
686,Yes,No,Laboratory Technician,Entry,No
687,No,No,Laboratory Technician,Entry,No
688,Yes,Yes,Sales Representative,Entry,No
689,No,Yes,Laboratory Technician,Entry,No
690,Yes,No,Healthcare Representative,Associate,Medium Level of Stock
691,Yes,No,Research Scientist,Entry,Basic Level of Stock
692,No,No,Manufacturing Director,Associate,Basic Level of Stock
693,Yes,Yes,Sales Executive,Middle-Management,Basic Level of Stock
694,No,No,Healthcare Representative,Associate,No
695,No,Yes,Sales Executive,Middle-Management,No
696,No,No,Laboratory Technician,Associate,No
697,No,No,Sales Representative,Entry,Basic Level of Stock
698,No,No,Sales Executive,Associate,No
699,No,No,Manager,Head,Basic Level of Stock
700,No,Yes,Research Scientist,Entry,No
701,No,No,Manager,Head,Basic Level of Stock
702,No,No,Sales Executive,Middle-Management,Basic Level of Stock
703,Yes,No,Sales Executive,Associate,No
704,No,No,Sales Executive,Middle-Management,Basic Level of Stock
705,No,No,Sales Executive,Middle-Management,No
706,Yes,Yes,Sales Executive,Head,No
707,Yes,No,Manufacturing Director,Associate,No
708,No,No,Sales Executive,Associate,Medium Level of Stock
709,Yes,Yes,Research Scientist,Entry,No
710,No,No,Manager,Head,No
711,Yes,Yes,Research Scientist,Entry,No
712,No,No,Research Scientist,Entry,No
713,No,No,Laboratory Technician,Entry,Medium Level of Stock
714,No,No,Research Director,Head,Basic Level of Stock
715,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
716,No,No,Research Director,C-Level,Basic Level of Stock
717,No,No,Laboratory Technician,Entry,Basic Level of Stock
718,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
719,Yes,No,Sales Executive,Associate,No
720,Yes,Yes,Research Scientist,Entry,No
721,Yes,No,Manufacturing Director,Head,Basic Level of Stock
722,No,No,Research Scientist,Entry,Basic Level of Stock
723,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
724,No,No,Manufacturing Director,Associate,Medium Level of Stock
725,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
726,No,No,Manufacturing Director,Associate,Basic Level of Stock
727,No,No,Research Scientist,Entry,No
728,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
729,Yes,No,Healthcare Representative,Middle-Management,Basic Level of Stock
730,Yes,No,Research Director,Middle-Management,High Level of Stock
731,Yes,Yes,Research Scientist,Entry,No
732,No,Yes,Laboratory Technician,Entry,No
733,No,No,Manufacturing Director,Associate,No
734,No,No,Laboratory Technician,Entry,Basic Level of Stock
735,No,No,Healthcare Representative,Associate,No
736,No,No,Healthcare Representative,Middle-Management,No
737,No,No,Manufacturing Director,Associate,No
738,No,No,Manufacturing Director,Head,Basic Level of Stock
739,No,No,Manufacturing Director,Associate,Basic Level of Stock
740,No,No,Laboratory Technician,Entry,Basic Level of Stock
741,No,No,Manager,C-Level,No
742,No,No,Laboratory Technician,Entry,No
743,Yes,No,Manufacturing Director,Head,No
744,No,Yes,Healthcare Representative,Associate,No
745,Yes,No,Healthcare Representative,Associate,Medium Level of Stock
746,No,No,Research Director,C-Level,Medium Level of Stock
747,Yes,No,Sales Executive,Associate,No
748,No,Yes,Sales Executive,Associate,No
749,No,Yes,Manager,C-Level,Basic Level of Stock
750,Yes,No,Sales Executive,Head,Basic Level of Stock
751,No,No,Sales Executive,Associate,Basic Level of Stock
752,No,Yes,Laboratory Technician,Entry,No
753,Yes,No,Manufacturing Director,Middle-Management,No
754,No,No,Sales Representative,Entry,No
755,No,No,Manager,Head,Basic Level of Stock
756,No,No,Laboratory Technician,Entry,No
757,No,No,Sales Executive,Associate,Basic Level of Stock
758,Yes,No,Manager,Middle-Management,Basic Level of Stock
759,No,No,Human Resources,Entry,No
760,No,No,Sales Executive,Middle-Management,Basic Level of Stock
761,No,Yes,Laboratory Technician,Associate,Basic Level of Stock
762,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
763,Yes,No,Sales Representative,Entry,Basic Level of Stock
764,No,No,Sales Representative,Entry,No
765,No,No,Research Scientist,Entry,Basic Level of Stock
766,Yes,No,Research Director,C-Level,Basic Level of Stock
767,No,No,Healthcare Representative,Associate,No
768,No,No,Sales Executive,Associate,Basic Level of Stock
769,No,No,Research Scientist,Entry,Medium Level of Stock
770,No,No,Research Director,C-Level,Medium Level of Stock
771,No,No,Sales Executive,Middle-Management,Basic Level of Stock
772,No,No,Research Scientist,Entry,Basic Level of Stock
773,No,No,Manufacturing Director,Middle-Management,No
774,No,No,Manager,Head,No
775,No,No,Sales Executive,Middle-Management,Basic Level of Stock
776,Yes,Yes,Sales Representative,Entry,No
777,No,Yes,Laboratory Technician,Entry,No
778,Yes,No,Research Scientist,Associate,High Level of Stock
779,Yes,Yes,Research Scientist,Entry,High Level of Stock
780,No,Yes,Healthcare Representative,Middle-Management,No
781,No,No,Laboratory Technician,Entry,Medium Level of Stock
782,No,No,Manufacturing Director,Associate,Basic Level of Stock
783,No,No,Research Scientist,Entry,No
784,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
785,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
786,No,No,Laboratory Technician,Entry,High Level of Stock
787,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
788,No,No,Research Scientist,Associate,No
789,No,Yes,Human Resources,Middle-Management,Basic Level of Stock
790,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
791,Yes,Yes,Sales Executive,Middle-Management,No
792,No,Yes,Research Scientist,Associate,No
793,No,No,Laboratory Technician,Entry,Basic Level of Stock
794,No,No,Healthcare Representative,Associate,No
795,Yes,No,Sales Executive,Associate,High Level of Stock
796,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
797,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
798,Yes,Yes,Research Scientist,Entry,No
799,No,No,Manager,Head,Basic Level of Stock
800,No,Yes,Laboratory Technician,Entry,Medium Level of Stock
801,Yes,Yes,Sales Executive,Associate,No
802,No,No,Sales Executive,Associate,Basic Level of Stock
803,No,No,Research Scientist,Entry,High Level of Stock
804,No,No,Manager,Head,No
805,No,No,Sales Executive,Associate,Basic Level of Stock
806,No,No,Healthcare Representative,Middle-Management,No
807,Yes,No,Sales Executive,Middle-Management,Medium Level of Stock
808,No,No,Research Scientist,Entry,Basic Level of Stock
809,No,No,Manufacturing Director,Middle-Management,High Level of Stock
810,No,No,Manager,Head,Basic Level of Stock
811,No,No,Sales Executive,Middle-Management,No
812,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
813,No,Yes,Healthcare Representative,Head,High Level of Stock
814,No,No,Research Director,C-Level,No
815,Yes,No,Research Scientist,Entry,No
816,No,No,Laboratory Technician,Associate,No
817,No,No,Manufacturing Director,Associate,No
818,No,No,Sales Representative,Entry,Basic Level of Stock
819,No,No,Research Scientist,Entry,No
820,No,No,Sales Executive,Associate,Basic Level of Stock
821,No,No,Sales Executive,Head,Basic Level of Stock
822,No,No,Manufacturing Director,Associate,No
823,No,No,Research Scientist,Entry,Medium Level of Stock
824,No,No,Laboratory Technician,Associate,No
825,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
826,No,No,Human Resources,Entry,Basic Level of Stock
827,Yes,No,Research Scientist,Entry,Basic Level of Stock
828,No,Yes,Laboratory Technician,Entry,No
829,Yes,Yes,Sales Executive,Associate,No
830,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
831,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
832,No,No,Healthcare Representative,Associate,Medium Level of Stock
833,No,No,Research Scientist,Entry,Basic Level of Stock
834,No,No,Sales Executive,Associate,No
835,No,No,Human Resources,Entry,No
836,No,Yes,Sales Executive,Middle-Management,Basic Level of Stock
837,No,No,Research Director,Middle-Management,No
838,Yes,Yes,Sales Executive,Head,No
839,No,No,Sales Executive,Associate,No
840,No,No,Laboratory Technician,Entry,Basic Level of Stock
841,No,No,Laboratory Technician,Entry,No
842,Yes,Yes,Laboratory Technician,Entry,No
843,No,No,Laboratory Technician,Entry,Basic Level of Stock
844,No,No,Sales Executive,Associate,Basic Level of Stock
845,Yes,No,Research Scientist,Associate,Basic Level of Stock
846,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
847,No,No,Healthcare Representative,Associate,No
848,No,No,Laboratory Technician,Entry,Basic Level of Stock
849,No,Yes,Sales Executive,Associate,No
850,No,No,Sales Representative,Entry,High Level of Stock
851,No,No,Manager,C-Level,Basic Level of Stock
852,No,No,Laboratory Technician,Entry,Basic Level of Stock
853,No,No,Research Scientist,Entry,No
854,Yes,No,Research Scientist,Entry,Basic Level of Stock
855,No,No,Manufacturing Director,Associate,Basic Level of Stock
856,No,No,Laboratory Technician,Entry,No
857,Yes,Yes,Research Scientist,Entry,No
858,No,No,Manager,C-Level,Basic Level of Stock
859,Yes,No,Research Scientist,Entry,Basic Level of Stock
860,Yes,Yes,Research Scientist,Entry,Basic Level of Stock
861,No,No,Manager,Head,No
862,No,No,Research Scientist,Entry,No
863,No,No,Human Resources,Entry,Basic Level of Stock
864,No,Yes,Research Scientist,Entry,Basic Level of Stock
865,No,No,Sales Executive,Associate,High Level of Stock
866,No,No,Sales Executive,Associate,High Level of Stock
867,No,No,Manager,Head,Basic Level of Stock
868,No,No,Laboratory Technician,Entry,High Level of Stock
869,No,No,Research Director,C-Level,Basic Level of Stock
870,Yes,No,Sales Executive,Associate,High Level of Stock
871,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
872,No,No,Sales Executive,Associate,Basic Level of Stock
873,No,No,Laboratory Technician,Entry,Basic Level of Stock
874,No,No,Laboratory Technician,Associate,High Level of Stock
875,No,No,Research Scientist,Associate,No
876,No,No,Sales Representative,Entry,No
877,No,No,Manufacturing Director,Associate,Basic Level of Stock
878,No,No,Human Resources,Associate,Basic Level of Stock
879,Yes,No,Sales Executive,Associate,Basic Level of Stock
880,No,No,Laboratory Technician,Entry,Basic Level of Stock
881,Yes,No,Research Scientist,Associate,No
882,Yes,No,Manufacturing Director,Middle-Management,Basic Level of Stock
883,No,No,Research Scientist,Entry,Basic Level of Stock
884,No,No,Sales Executive,Associate,Basic Level of Stock
885,No,No,Sales Executive,Associate,No
886,Yes,No,Research Scientist,Entry,Basic Level of Stock
887,Yes,No,Research Director,Middle-Management,No
888,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
889,Yes,No,Research Scientist,Entry,Medium Level of Stock
890,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
891,No,No,Research Scientist,Entry,Basic Level of Stock
892,Yes,Yes,Research Scientist,Entry,No
893,No,No,Research Scientist,Entry,High Level of Stock
894,No,No,Research Director,Head,No
895,Yes,No,Healthcare Representative,Associate,No
896,No,No,Healthcare Representative,Associate,No
897,No,No,Sales Executive,Associate,No
898,No,No,Research Director,C-Level,Basic Level of Stock
899,No,No,Manager,C-Level,Basic Level of Stock
900,No,No,Research Scientist,Entry,No
901,No,No,Laboratory Technician,Entry,No
902,No,No,Research Scientist,Entry,High Level of Stock
903,Yes,No,Healthcare Representative,Associate,Medium Level of Stock
904,No,No,Research Director,C-Level,No
905,No,No,Research Director,Head,Medium Level of Stock
906,No,No,Research Scientist,Entry,No
907,No,No,Manager,C-Level,Basic Level of Stock
908,Yes,No,Sales Executive,Middle-Management,Medium Level of Stock
909,Yes,No,Research Scientist,Entry,No
910,No,No,Research Scientist,Entry,Basic Level of Stock
911,Yes,Yes,Sales Representative,Entry,No
912,Yes,No,Research Scientist,Entry,No
913,Yes,Yes,Manager,C-Level,No
914,Yes,No,Healthcare Representative,Head,Basic Level of Stock
915,No,Yes,Laboratory Technician,Entry,No
916,No,No,Manager,C-Level,Basic Level of Stock
917,Yes,No,Sales Executive,Associate,No
918,Yes,No,Manager,C-Level,Basic Level of Stock
919,No,No,Manufacturing Director,Middle-Management,No
920,No,No,Laboratory Technician,Associate,Medium Level of Stock
921,Yes,No,Laboratory Technician,Entry,No
922,No,No,Manager,C-Level,Medium Level of Stock
923,No,No,Human Resources,Associate,Medium Level of Stock
924,Yes,No,Research Scientist,Entry,No
925,Yes,No,Research Scientist,Associate,No
926,No,No,Sales Executive,Middle-Management,No
927,Yes,No,Manufacturing Director,Associate,No
928,No,Yes,Healthcare Representative,Middle-Management,Basic Level of Stock
929,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
930,No,No,Laboratory Technician,Entry,No
931,Yes,No,Manufacturing Director,Associate,No
932,Yes,Yes,Laboratory Technician,Entry,Medium Level of Stock
933,No,No,Research Scientist,Entry,No
934,No,No,Research Scientist,Entry,No
935,No,No,Sales Executive,Associate,Medium Level of Stock
936,No,No,Manager,C-Level,No
937,Yes,No,Manager,Head,Medium Level of Stock
938,No,No,Research Scientist,Entry,Medium Level of Stock
939,No,Yes,Laboratory Technician,Associate,Basic Level of Stock
940,No,Yes,Research Scientist,Entry,No
941,No,No,Laboratory Technician,Associate,Basic Level of Stock
942,No,No,Healthcare Representative,Middle-Management,No
943,No,No,Human Resources,Entry,No
944,No,No,Laboratory Technician,Associate,High Level of Stock
945,Yes,No,Research Director,Head,No
946,Yes,Yes,Sales Executive,Middle-Management,No
947,Yes,Yes,Sales Executive,Middle-Management,No
948,Yes,No,Manager,Middle-Management,Medium Level of Stock
949,No,No,Manufacturing Director,Associate,No
950,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
951,No,No,Sales Executive,Associate,No
952,Yes,Yes,Sales Representative,Entry,No
953,No,Yes,Laboratory Technician,Entry,No
954,Yes,No,Manager,Head,No
955,No,No,Manager,C-Level,Basic Level of Stock
956,No,No,Manager,C-Level,No
957,No,No,Research Scientist,Entry,Basic Level of Stock
958,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
959,No,No,Research Scientist,Associate,No
960,No,No,Sales Executive,Associate,Basic Level of Stock
961,Yes,No,Research Scientist,Associate,No
962,Yes,No,Manager,Head,Basic Level of Stock
963,No,No,Sales Executive,Associate,Basic Level of Stock
964,No,No,Sales Executive,Associate,No
965,No,No,Laboratory Technician,Entry,High Level of Stock
966,Yes,Yes,Manufacturing Director,Middle-Management,No
967,No,No,Laboratory Technician,Entry,Basic Level of Stock
968,No,No,Sales Executive,Associate,Basic Level of Stock
969,No,No,Manufacturing Director,Middle-Management,No
970,No,No,Sales Representative,Entry,Basic Level of Stock
971,No,No,Manufacturing Director,Head,No
972,No,No,Laboratory Technician,Entry,No
973,No,No,Laboratory Technician,Associate,Basic Level of Stock
974,No,No,Sales Executive,Associate,No
975,Yes,Yes,Sales Executive,Head,No
976,Yes,No,Manufacturing Director,Head,Basic Level of Stock
977,No,No,Research Scientist,Entry,High Level of Stock
978,No,No,Healthcare Representative,Associate,High Level of Stock
979,No,No,Laboratory Technician,Associate,Medium Level of Stock
980,No,Yes,Sales Representative,Entry,No
981,Yes,Yes,Sales Executive,Associate,Basic Level of Stock
982,No,No,Research Scientist,Entry,High Level of Stock
983,No,No,Healthcare Representative,Associate,No
984,No,No,Sales Executive,Associate,Basic Level of Stock
985,Yes,Yes,Manufacturing Director,Associate,Medium Level of Stock
986,Yes,No,Sales Executive,Associate,Medium Level of Stock
987,No,No,Sales Executive,Middle-Management,No
988,Yes,No,Research Scientist,Associate,Medium Level of Stock
989,Yes,No,Research Scientist,Entry,No
